panel,spike_id,time_s,x_px_in_panel,y_px_in_panel,x_px_abs,y_px_abs,y_norm_in_raster,sigma_px,detection_score
no_prediction_reward_occurs,no_prediction_reward_occurs_0213,-0.13807531380753135,103.0,141.0,495.0,342.0,0.9215686274509803,1.4444444444444444,0.46971677559912856
no_prediction_reward_occurs,no_prediction_reward_occurs_0118,-0.09623430962343094,108.0,105.0,500.0,306.0,0.5686274509803921,1.6666666666666665,0.7633986928104575
no_prediction_reward_occurs,no_prediction_reward_occurs_0005,-0.07112970711297073,111.0,66.0,503.0,267.0,0.18627450980392157,2.111111111111111,0.9167755991285405
no_prediction_reward_occurs,no_prediction_reward_occurs_0053,-0.06276150627615062,112.0,99.0,504.0,300.0,0.5098039215686274,1.8888888888888888,0.8932461873638344
no_prediction_reward_occurs,no_prediction_reward_occurs_0155,-0.046025104602510414,114.0,125.0,506.0,326.0,0.7647058823529411,1.6666666666666665,0.8618736383442266
no_prediction_reward_occurs,no_prediction_reward_occurs_0212,-0.03765690376569042,115.0,117.0,507.0,318.0,0.6862745098039216,3.0,0.7302832244008715
no_prediction_reward_occurs,no_prediction_reward_occurs_0128,-0.029288702928870314,116.0,135.0,508.0,336.0,0.8627450980392157,1.4444444444444444,0.8169934640522876
no_prediction_reward_occurs,no_prediction_reward_occurs_0132,-0.004184100418409997,119.0,90.0,511.0,291.0,0.4215686274509804,1.6666666666666665,0.8588235294117648
no_prediction_reward_occurs,no_prediction_reward_occurs_0120,-0.004184100418409997,119.0,110.0,511.0,311.0,0.6176470588235294,1.6666666666666665,0.8135076252723311
no_prediction_reward_occurs,no_prediction_reward_occurs_0198,-0.004184100418409997,119.0,120.0,511.0,321.0,0.7156862745098039,1.4444444444444444,0.8618736383442266
no_prediction_reward_occurs,no_prediction_reward_occurs_0104,0.012552301255230214,121.0,145.0,513.0,346.0,0.9607843137254902,1.8888888888888888,0.8540305010893247
no_prediction_reward_occurs,no_prediction_reward_occurs_0126,0.02092050209205021,122.0,134.0,514.0,335.0,0.8529411764705882,1.8888888888888888,0.8627450980392157
no_prediction_reward_occurs,no_prediction_reward_occurs_0150,0.029288702928870203,123.0,81.0,515.0,282.0,0.3333333333333333,2.111111111111111,0.7734204793028323
no_prediction_reward_occurs,no_prediction_reward_occurs_0099,0.046025104602510414,125.0,124.0,517.0,325.0,0.7549019607843137,2.111111111111111,0.812636165577342
no_prediction_reward_occurs,no_prediction_reward_occurs_0181,0.05439330543933063,126.0,77.0,518.0,278.0,0.29411764705882354,3.0,0.7607843137254902
no_prediction_reward_occurs,no_prediction_reward_occurs_0092,0.05439330543933063,126.0,90.0,518.0,291.0,0.4215686274509804,2.111111111111111,0.8492374727668845
no_prediction_reward_occurs,no_prediction_reward_occurs_0090,0.07112970711297062,128.0,140.0,520.0,341.0,0.9117647058823529,1.8888888888888888,0.8052287581699348
no_prediction_reward_occurs,no_prediction_reward_occurs_0079,0.07949790794979084,129.0,100.0,521.0,301.0,0.5196078431372549,1.8888888888888888,0.8374727668845315
no_prediction_reward_occurs,no_prediction_reward_occurs_0028,0.08786610878661083,130.0,66.0,522.0,267.0,0.18627450980392157,1.8888888888888888,0.8139433551198256
no_prediction_reward_occurs,no_prediction_reward_occurs_0108,0.11297071129707104,133.0,115.0,525.0,316.0,0.6666666666666666,2.7777777777777777,0.8901960784313725
no_prediction_reward_occurs,no_prediction_reward_occurs_0025,0.14644351464435146,137.0,100.0,529.0,301.0,0.5196078431372549,2.111111111111111,0.9376906318082787
no_prediction_reward_occurs,no_prediction_reward_occurs_0036,0.17154811715481166,140.0,76.0,532.0,277.0,0.28431372549019607,2.5555555555555554,0.9254901960784314
no_prediction_reward_occurs,no_prediction_reward_occurs_0045,0.21338912133891208,145.0,140.0,537.0,341.0,0.9117647058823529,2.111111111111111,0.8779956427015251
no_prediction_reward_occurs,no_prediction_reward_occurs_0096,0.2301255230125523,147.0,96.0,539.0,297.0,0.4803921568627451,2.111111111111111,0.7843137254901961
no_prediction_reward_occurs,no_prediction_reward_occurs_0133,0.23849372384937229,148.0,76.0,540.0,277.0,0.28431372549019607,1.4444444444444444,0.8649237472766884
no_prediction_reward_occurs,no_prediction_reward_occurs_0072,0.2803347280334727,153.0,110.0,545.0,311.0,0.6176470588235294,2.111111111111111,0.8178649237472767
no_prediction_reward_occurs,no_prediction_reward_occurs_0110,0.2970711297071129,155.0,55.0,547.0,256.0,0.0784313725490196,3.0,0.8649237472766885
